latitude_deg,longitude_deg_east,elevation_m,hemisphere
82.875,115.125,-334.0,North
82.875,117.125,-6.0,North
82.875,119.125,1.0,North
82.875,121.125,-244.5,North
82.875,123.125,-1458.0,North
82.875,125.125,-445.5,North
82.875,127.125,-913.5,North
82.875,129.125,-724.5,North
82.875,131.125,-696.5,North
82.875,133.125,-917.5,North
82.875,135.125,-786.5,North
82.875,137.125,-535.5,North
82.875,139.125,-632.0,North
82.875,141.125,-1573.0,North
82.875,143.125,-284.0,North
82.875,145.125,-1699.5,North
82.875,147.125,-1802.0,North
82.875,149.125,-1844.0,North
82.875,151.125,-1773.5,North
82.875,153.125,-1652.0,North
82.875,155.125,-1268.0,North
82.875,157.125,209.5,North
82.875,159.125,207.5,North
82.875,161.125,229.0,North
82.875,163.125,865.5,North
82.875,165.125,1106.0,North
82.875,167.125,276.5,North
82.875,169.125,-778.5,North
82.875,171.125,-1424.5,North
82.875,173.125,-1997.0,North
82.875,175.125,-2741.0,North
82.875,177.125,-2763.0,North
82.875,179.125,-2524.0,North
82.875,181.125,-2291.0,North
82.875,183.125,-1276.5,North
82.875,185.125,-155.5,North
82.875,187.125,1141.5,North
82.875,189.125,1028.0,North
82.875,191.125,-746.0,North
82.875,193.125,-1082.5,North
82.875,195.125,-2305.5,North
82.875,197.125,-2819.5,North
82.875,199.125,-2765.5,North
82.875,201.125,-2833.5,North
82.875,203.125,-2853.0,North
82.875,205.125,-2629.0,North
82.875,207.125,-2338.5,North
82.875,209.125,-1547.5,North
82.875,211.125,-1361.0,North
82.875,213.125,-1336.0,North
82.875,215.125,-891.0,North
82.875,217.125,-868.5,North
82.875,219.125,-463.5,North
82.875,221.125,-343.0,North
82.875,223.125,-836.5,North
82.875,225.125,-417.0,North
82.875,227.125,-443.5,North
82.875,229.125,-183.0,North
82.875,231.125,17.5,North
82.875,233.125,880.0,North
82.875,235.125,1050.5,North
82.875,237.125,693.0,North
82.875,239.125,273.5,North
82.875,241.125,-246.0,North
82.875,243.125,-220.5,North
82.875,245.125,198.0,North
82.875,247.125,-144.0,North
82.875,249.125,-519.5,North
82.875,251.125,-136.0,North
82.875,253.125,426.5,North
82.875,255.125,508.0,North
82.875,257.125,429.5,North
82.875,259.125,356.5,North
82.875,261.125,-556.0,North
82.875,263.125,-1311.0,North
82.875,265.125,-1129.5,North
82.875,267.125,-1034.0,North
82.875,269.125,-519.0,North
82.875,271.125,-146.0,North
82.875,273.125,-2259.5,North
82.875,275.125,-2896.5,North
82.875,277.125,-2933.0,North
82.875,279.125,-2946.5,North
82.875,281.125,-2919.5,North
82.875,283.125,-2117.5,North
82.875,285.125,46.0,North
82.875,287.125,792.5,North
82.875,289.125,70.0,North
82.875,291.125,23.5,North
82.875,293.125,-338.0,North
82.875,295.125,-672.0,North
82.875,297.125,-668.0,North
82.875,299.125,-907.0,North
82.875,301.125,-1055.5,North
82.875,303.125,-1053.5,North
82.875,305.125,-556.5,North
82.875,307.125,-463.0,North
82.875,309.125,-608.0,North
82.875,311.125,-580.0,North
82.875,313.125,-1131.5,North
82.875,315.125,-1077.0,North
82.875,317.125,-1167.0,North
82.875,319.125,-1178.0,North
82.875,321.125,-1140.5,North
82.875,323.125,-1050.5,North
82.875,325.125,-1096.0,North
82.875,327.125,-825.0,North
82.875,329.125,-781.5,North
82.875,331.125,-946.0,North
82.875,333.125,-1055.0,North
82.875,335.125,-1055.0,North
82.875,337.125,-1086.5,North
82.875,339.125,-779.5,North
82.875,341.125,-879.5,North
82.875,343.125,-852.5,North
82.875,345.125,-979.0,North
82.875,347.125,-967.5,North
82.875,349.125,-964.5,North
82.875,351.125,-788.5,North
82.875,353.125,-719.5,North
82.875,355.125,-471.0,North
82.875,357.125,110.0,North
82.875,359.125,-787.5,North
80.875,1.125,-588.0,North
80.875,3.125,-567.5,North
80.875,5.125,-345.0,North
80.875,7.125,-1356.5,North
80.875,9.125,-1359.5,North
80.875,11.125,-1437.5,North
80.875,13.125,-1434.0,North
80.875,15.125,-1261.5,North
80.875,17.125,-678.0,North
80.875,19.125,-772.0,North
80.875,21.125,-799.0,North
80.875,23.125,-620.0,North
80.875,25.125,-444.0,North
80.875,27.125,-134.0,North
80.875,29.125,311.0,North
80.875,31.125,-1331.0,North
80.875,33.125,-2343.0,North
80.875,35.125,-2091.0,North
80.875,37.125,-2049.0,North
80.875,39.125,-1777.5,North
80.875,41.125,-1792.0,North
80.875,43.125,-1149.5,North
80.875,45.125,264.5,North
80.875,47.125,357.0,North
80.875,49.125,62.5,North
80.875,51.125,-246.0,North
80.875,53.125,-946.0,North
80.875,55.125,-872.0,North
80.875,57.125,-1408.0,North
80.875,59.125,-1076.0,North
80.875,61.125,-1662.0,North
80.875,63.125,-1099.0,North
80.875,65.125,-1212.5,North
80.875,67.125,-735.5,North
80.875,69.125,-567.5,North
80.875,71.125,-347.0,North
80.875,73.125,-695.5,North
80.875,75.125,-878.5,North
80.875,77.125,-635.5,North
80.875,79.125,-450.0,North
80.875,81.125,-874.0,North
80.875,83.125,370.5,North
80.875,85.125,-702.0,North
80.875,87.125,-2659.0,North
80.875,89.125,-3235.0,North
80.875,91.125,-3267.5,North
80.875,93.125,-3273.5,North
80.875,95.125,-3260.5,North
80.875,97.125,-3125.5,North
80.875,99.125,-2901.0,North
80.875,101.125,-3007.5,North
80.875,103.125,-2912.5,North
80.875,105.125,-1975.0,North
80.875,107.125,-480.5,North
80.875,109.125,-66.0,North
80.875,111.125,250.0,North
80.875,113.125,149.0,North
80.875,115.125,328.5,North
80.875,117.125,-104.5,North
80.875,119.125,-623.5,North
80.875,121.125,-2761.0,North
80.875,123.125,-2372.5,North
80.875,125.125,-990.5,North
80.875,127.125,-283.0,North
80.875,129.125,-1452.5,North
80.875,131.125,-1788.0,North
80.875,133.125,-1809.5,North
80.875,135.125,-1748.0,North
80.875,137.125,-1515.0,North
80.875,139.125,-401.5,North
80.875,141.125,-879.5,North
80.875,143.125,-1013.0,North
80.875,145.125,-954.0,North
